Target,Feature,Normal_Mean,Normal_Std,Event_Mean,Event_Std,Diff_Percent
anxiety,total_sleep,379.56624304460536,98.76488980973433,384.4764390049256,99.0056244010952,1.2936334698613428
anxiety,rem_sleep,114.39362893008061,37.615914336259294,116.57218877123086,36.06397944481937,1.9044415860622974
anxiety,heart_beat,78.45747878908384,7.543281175374279,78.80070951937522,7.539945166090013,0.43747356604981374
anxiety,hrv,25.375606175859847,19.45158945725809,24.902505682935324,20.01515262052277,-1.8643909022145446
anxiety,walk,4833.517990914672,3471.708581169801,4673.716472146841,3219.367130330216,-3.3061120092694853
anxiety,stick_sensor,10.8680919423836,5.036548562833739,11.008753805533326,9.206210128120945,1.2942645672803863
anxiety,body_temperature,35.31980601297555,0.9613090819718297,35.22333823862971,1.6097892805583032,-0.2731265690145633
anxiety,skin_temperature,28.831941444388956,3.1330893906975668,28.681204894420567,3.3775186550717056,-0.5228109604035159
anxiety,oxygen_saturation,97.40994645167753,0.5414596901700673,97.40947235342486,0.4603668487312092,-0.0004867041507944615
depression,total_sleep,381.32296247093984,97.05748335423878,384.137678462508,99.96882453983412,0.7381448977866552
depression,rem_sleep,115.34088342743276,37.080065708697575,116.94968845094917,36.566949304319365,1.3948263405911898
depression,heart_beat,78.54415906147165,7.52424446342434,78.8043984368939,7.607565225078522,0.3313287436416319
depression,hrv,25.39719694356017,20.96189858572901,24.65507452375664,18.496182277285534,-2.922064279190891
depression,walk,4838.539900669549,3540.2970753141685,4730.977764799125,3240.824703575549,-2.2230288078339417
depression,stick_sensor,10.877507994174163,5.149543500278245,11.100531184550652,9.327427811404213,2.0503151134978457
depression,body_temperature,35.26467882011613,1.454280408120921,35.19162474188327,1.6990345122362518,-0.20715934662416985
depression,skin_temperature,28.76935601055896,3.2458859452694138,28.617776204558172,3.4308957108721603,-0.5268793849440114
depression,oxygen_saturation,97.40574180285047,0.5550638976325263,97.4022494677478,0.5258441228364924,-0.0035853482947095193
stress,total_sleep,382.1924364379117,97.50640861587209,382.81736897746066,98.93020130821601,0.1635125345162348
stress,rem_sleep,114.85569317457247,37.3663525269725,116.05935098877839,36.53248507127515,1.047974010636505
stress,heart_beat,78.31380063311906,7.429221995435524,78.76778671708345,7.611501606137855,0.5797012535392178
stress,hrv,25.31481125263716,18.373113045456677,25.074611616644276,20.182174511791963,-0.9488501952305137
stress,walk,4921.976804641302,3731.7014326428935,4684.533083645196,3180.0113940987653,-4.824153595608223
stress,stick_sensor,10.731635069850025,4.908014316240224,11.005094430712655,8.182286134050043,2.54816119894814
stress,body_temperature,35.29756324023115,0.9713743360474115,35.20341127139695,1.7394547230180266,-0.26673787137488647
stress,skin_temperature,28.751714085713072,3.1947528139953154,28.679543321837762,3.3887885268258535,-0.2510137783791182
stress,oxygen_saturation,97.40294677043624,0.5640526576175511,97.40297801151776,0.5323196131842783,3.207406197798323e-05
